ID_ESCOLA,ESCOLAS_POSTOS,BAIRRO,ENDERECO,LATITUDE,LONGITUDE
560,ESCOLA MUNICIPAL ANDRE VIDAL DE NEGREIROS,SANTA CRUZ,RUA FELIPE CARDOSO 750,-22.92139,-43.68058
246,ESCOLA MUNICIPAL FERNANDO AZEVEDO,SANTA CRUZ,RUA DAS PALMEIRAS IMPERIAIS SEM NUMERO,-22.92307,-43.69233
069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,MADUREIRA,RUA AGOSTINHO BARBALHO 401,-22.87608,-43.34337
319,ESCOLA MUNICIPAL MARECHAL PEDRO CAVALCANTI,PACIENCIA,RUA PORTO FIRME SEM NUMERO,-22.92485,-43.63289
584,ESCOLA MUNICIPAL NELSON ROMERO,SEPETIBA,RUA JOSE BALDINO SEM NUMERO,-22.97174,-43.69735
311,ESCOLA MUNICIPAL PESTALOZZI,SANTA CRUZ,RUA SEVERIANO DAS CHAGAS SEM NUMERO,-22.91572,-43.67975
316,ESCOLA MUNICIPAL PROFESSORA FLAVIA DOS SANTOS SOARES,PACIENCIA,RUA EUDALDO GOMES DA SILVA SEM NUMERO CONJUNTO URUCANIA,-22.91403,-43.65344
497,ESCOLA MUNICIPAL PROFESSORA LEILA MEHL MENEZES DE MATTOS,PACIENCIA,AVENIDA MARIO PEREIRA DOS SANTOS SEM NUMERO,-22.87319,-43.62773
297,ESCOLA MUNICIPAL PROFESSORA SILVIA DE ARAUJO TOLEDO,SANTA CRUZ,AVENIDA CANAL 3 SEM NUMERO CONJUNTO CESARAO,-22.93011,-43.65290
068,ESCOLA MUNICIPAL WALQUIR PEREIRA,NOVA SEPETIBA,ESTRADA DE SEPETIBA SEM NUMERO BLOCO 1,-22.95601,-43.68675
069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,MADUREIRA,RUA AGOSTINHO BARBALHO 401,-22.87608,-43.34337
515,CENTROS INTEGRADOS DE EDUCACAO PUBLICA HILDEBRANDO DE ARAUJO GOES,PEDRA DE GUARATIBA,ESTRADA DA PEDRA SEM NUMERO,-22.97451,-43.64817
289,ESCOLA MUNICIPAL BERTHA LUTZ,GUARATIBA,ESTRADA DO PIAI 2075,-22.97906,-43.67058
210,ESCOLA MUNICIPAL DEBORA MENDES DE MORAES,PEDRA DE GUARATIBA,RUA BELCHIOR DA FONSECA 643,-23.00142,-43.63876
474,ESCOLA MUNICIPAL ENGENHEIRO GASTAO RANGEL,GUARATIBA,ESTRADA DO MAGARCA 9.183,-22.98046,-43.64355
301,ESCOLA MUNICIPAL JONATAS SERRANO,GUARATIBA,ESTRADA DO MATO ALTO SEM NUMERO,-22.95316,-43.57741
215,ESCOLA MUNICIPAL NARCISA AMALIA,ILHA DE GUARATIBA,ESTRADA TEODORETO DE CAMARGO SEM NUMERO,-23.00908,-43.53758
606,ESCOLA MUNICIPAL PROFESSOR CASTILHO,ILHA DE GUARATIBA,CAMINHO DA MATRIZ 4406,-22.99412,-43.59368
069,ESCOLA MUNICIPAL CARDEAL ARCOVERDE,MADUREIRA,RUA AGOSTINHO BARBALHO 401,-22.87608,-43.34337
